,images,expected,predicted
295,../Images/test\class1\02061_Mask.png,1,1
296,../Images/test\class1\02062_Mask.png,1,1
297,../Images/test\class1\02063_Mask.png,1,1
298,../Images/test\class1\02064_Mask.png,1,1
299,../Images/test\class1\02065_Mask.png,1,1
300,../Images/test\class1\02066_Mask.png,1,1
301,../Images/test\class1\02067_Mask.png,1,1
302,../Images/test\class1\02068_Mask.png,1,1
303,../Images/test\class1\02069_Mask.png,1,1
304,../Images/test\class1\02075_Mask.png,1,1
305,../Images/test\class1\02076_Mask.png,1,1
306,../Images/test\class1\02077_Mask.png,1,1
307,../Images/test\class1\02078_Mask.png,1,1
308,../Images/test\class1\02079_Mask.png,1,1
309,../Images/test\class1\02080_Mask.png,1,1
310,../Images/test\class1\02081_Mask.png,1,1
311,../Images/test\class1\02082_Mask.png,1,1
312,../Images/test\class1\02094_Mask.png,1,1
313,../Images/test\class1\02095_Mask.png,1,1
314,../Images/test\class1\02098_Mask.png,1,1
315,../Images/test\class1\02107_Mask.png,1,1
316,../Images/test\class1\02108_Mask.png,1,1
317,../Images/test\class1\02124_Mask.png,1,1
318,../Images/test\class1\02125_Mask.png,1,1
319,../Images/test\class1\02127_Mask.png,1,1
320,../Images/test\class1\02128_Mask.png,1,1
321,../Images/test\class1\02129_Mask.png,1,1
322,../Images/test\class1\02132_Mask.png,1,1
323,../Images/test\class1\03957_Mask.png,1,1
324,../Images/test\class1\03960_Mask.png,1,1
325,../Images/test\class1\03972_Mask.png,1,1
326,../Images/test\class1\03974_Mask.png,1,1
327,../Images/test\class1\03978_Mask.png,1,1
328,../Images/test\class1\03984_Mask.png,1,1
329,../Images/test\class1\03989_Mask.png,1,1
330,../Images/test\class1\03999_Mask.png,1,1
331,../Images/test\class1\100.png,1,1
332,../Images/test\class1\101.png,1,1
333,../Images/test\class1\102.png,1,1
334,../Images/test\class1\103.png,1,1
335,../Images/test\class1\104.png,1,1
336,../Images/test\class1\201.png,1,1
337,../Images/test\class1\202.png,1,1
338,../Images/test\class1\203.png,1,1
339,../Images/test\class1\204.png,1,1
340,../Images/test\class1\205.png,1,1
341,../Images/test\class1\206.png,1,1
342,../Images/test\class1\21.png,1,0
343,../Images/test\class1\214.png,1,1
344,../Images/test\class1\215.png,1,1
345,../Images/test\class1\217.png,1,1
346,../Images/test\class1\218.png,1,1
347,../Images/test\class1\219.png,1,1
348,../Images/test\class1\22.png,1,0
349,../Images/test\class1\227.png,1,1
350,../Images/test\class1\229.png,1,1
351,../Images/test\class1\230.png,1,1
352,../Images/test\class1\31.png,1,2
353,../Images/test\class1\429.png,1,1
354,../Images/test\class1\43.png,1,2
355,../Images/test\class1\430.png,1,1
356,../Images/test\class1\431.png,1,1
357,../Images/test\class1\432.png,1,1
358,../Images/test\class1\433.png,1,1
359,../Images/test\class1\435.png,1,1
360,../Images/test\class1\442.png,1,1
361,../Images/test\class1\443.png,1,1
362,../Images/test\class1\444.png,1,1
363,../Images/test\class1\445.png,1,1
364,../Images/test\class1\446.png,1,1
365,../Images/test\class1\447.png,1,1
366,../Images/test\class1\448.png,1,1
367,../Images/test\class1\455.png,1,1
368,../Images/test\class1\456.png,1,1
369,../Images/test\class1\457.png,1,1
370,../Images/test\class1\458.png,1,1
371,../Images/test\class1\459.png,1,1
372,../Images/test\class1\460.png,1,1
373,../Images/test\class1\461.png,1,1
374,../Images/test\class1\468.png,1,1
375,../Images/test\class1\469.png,1,1
376,../Images/test\class1\47.png,1,2
377,../Images/test\class1\470.png,1,1
378,../Images/test\class1\471.png,1,1
379,../Images/test\class1\472.png,1,1
380,../Images/test\class1\473.png,1,1
381,../Images/test\class1\474.png,1,1
382,../Images/test\class1\477.png,1,1
383,../Images/test\class1\478.png,1,1
384,../Images/test\class1\479.png,1,1
385,../Images/test\class1\480.png,1,1
386,../Images/test\class1\481.png,1,1
387,../Images/test\class1\482.png,1,1
388,../Images/test\class1\483.png,1,1
389,../Images/test\class1\484.png,1,1
390,../Images/test\class1\486.png,1,1
391,../Images/test\class1\487.png,1,1
392,../Images/test\class1\488.png,1,1
393,../Images/test\class1\489.png,1,1
394,../Images/test\class1\49.png,1,1
395,../Images/test\class1\490.png,1,1
396,../Images/test\class1\494.png,1,1
397,../Images/test\class1\495.png,1,1
398,../Images/test\class1\496.png,1,1
399,../Images/test\class1\497.png,1,1
400,../Images/test\class1\498.png,1,1
401,../Images/test\class1\499.png,1,1
402,../Images/test\class1\500.png,1,1
403,../Images/test\class1\504.png,1,1
404,../Images/test\class1\505.png,1,1
405,../Images/test\class1\506.png,1,1
406,../Images/test\class1\507.png,1,1
407,../Images/test\class1\508.png,1,1
408,../Images/test\class1\509.png,1,1
409,../Images/test\class1\510.png,1,1
410,../Images/test\class1\517.png,1,1
411,../Images/test\class1\518.png,1,1
412,../Images/test\class1\519.png,1,1
413,../Images/test\class1\520.png,1,1
414,../Images/test\class1\521.png,1,1
415,../Images/test\class1\522.png,1,1
416,../Images/test\class1\523.png,1,1
417,../Images/test\class1\59.png,1,2
418,../Images/test\class1\64.png,1,1
419,../Images/test\class1\67.png,1,1
420,../Images/test\class1\68.png,1,1
421,../Images/test\class1\69.png,1,1
422,../Images/test\class1\73.png,1,1
423,../Images/test\class1\74.png,1,1
424,../Images/test\class1\75.png,1,1
425,../Images/test\class1\76.png,1,1
426,../Images/test\class1\77.png,1,1
427,../Images/test\class1\78.png,1,1
428,../Images/test\class1\86.png,1,1
429,../Images/test\class1\87.png,1,1
430,../Images/test\class1\88.png,1,1
431,../Images/test\class1\89.png,1,1
432,../Images/test\class1\90.png,1,2
433,../Images/test\class1\91.png,1,1
434,../Images/test\class1\99.png,1,1
435,../Images/test\class1\HTB1jE7ILFXXXXaEXpXXq6xXFXXXd.png,1,1
436,../Images/test\class1\maksssksksss106.png,1,2
437,../Images/test\class1\maksssksksss242.png,1,2
438,../Images/test\class1\maksssksksss258.png,1,2
439,../Images/test\class1\maksssksksss272.png,1,0
440,../Images/test\class1\maksssksksss281.png,1,2
441,../Images/test\class1\maksssksksss295.png,1,1
442,../Images/test\class1\maksssksksss324.png,1,0
443,../Images/test\class1\maksssksksss332.png,1,2
444,../Images/test\class1\maksssksksss392.png,1,1
445,../Images/test\class1\maksssksksss550.png,1,1
446,../Images/test\class1\maksssksksss590.png,1,2
447,../Images/test\class1\maksssksksss592.png,1,0
448,../Images/test\class1\maksssksksss617.png,1,2
449,../Images/test\class1\maksssksksss62.png,1,0
450,../Images/test\class1\maksssksksss626.png,1,2
451,../Images/test\class1\maksssksksss630.png,1,2
452,../Images/test\class1\maksssksksss644.png,1,2
453,../Images/test\class1\maksssksksss668.png,1,2
454,../Images/test\class1\maksssksksss669.png,1,0
455,../Images/test\class1\maksssksksss681.png,1,1
456,../Images/test\class1\maksssksksss709.png,1,1
457,../Images/test\class1\maksssksksss762.png,1,0
458,../Images/test\class1\maksssksksss790.png,1,0
459,../Images/test\class1\maksssksksss793.png,1,2
460,../Images/test\class1\maksssksksss808.png,1,0
461,../Images/test\class1\maksssksksss813.png,1,2
462,../Images/test\class1\maksssksksss845.png,1,0
463,../Images/test\class1\maksssksksss88.png,1,2
464,../Images/test\class1\man-wearing-surgical-mask-11976575.png,1,2
465,../Images/test\class1\mask-GettyImages-Science-Photo-Library.png,1,1
466,../Images/test\class1\portrait-woman-with-surgical-mask-posing-23-2148454231.png,1,1
467,../Images/test\class1\pra2.png,1,0
468,../Images/test\class1\surgical-face-mask-standard.png,1,1
469,../Images/test\class1\surgical-mask-49701-blue.png,1,1
470,../Images/test\class2\1.png,2,2
471,../Images/test\class2\222.png,2,1
472,../Images/test\class2\224.png,2,2
473,../Images/test\class2\265.png,2,2
474,../Images/test\class2\279.png,2,2
475,../Images/test\class2\5.png,2,2
476,../Images/test\class2\8.png,2,0
477,../Images/test\class2\84.png,2,0
478,../Images/test\class2\9.png,2,2
479,../Images/test\class2\Cardinal_0012_313207623.png,2,2
480,../Images/test\class2\Cardinal_0014_2363631519.png,2,2
481,../Images/test\class2\Crested_Auklet_0018_1297094698.png,2,2
482,../Images/test\class2\OIP-15FXhhL_Y6L0HloC9_8XNgHaHa.png,2,2
483,../Images/test\class2\OIP-7O1k4s2dW7-41uJ2LBixdwHaGz.png,2,0
484,../Images/test\class2\OIP-7OZ5a_Ka0lm7PfSbRKYsOgHaG_.png,2,2
485,../Images/test\class2\OIP-7OsPsDflgoaMCRZM9JCimQHaDX.png,2,2
486,../Images/test\class2\OIP-7gvkWqrrsXS1-pY1gCfkAQHaH_.png,2,2
487,../Images/test\class2\OIP-7mOCtpmfZ7YK6l-d6okiUQEsCm.png,2,2
488,../Images/test\class2\OIP-8k-o1-OLgQ4k6BhHHoNGGgEsES.png,2,2
489,../Images/test\class2\OIP-9PSzsbrPPa8rIn9590fZpAHaHa.png,2,2
490,../Images/test\class2\OIP-9lWUGNICJ8KJjFITFz4wtQHaFh.png,2,2
491,../Images/test\class2\OIP-B6Kg9U70DFsJ96j0j3i0NgHaHa.png,2,0
492,../Images/test\class2\OIP-E86A7nAxg5XlhXAcbCrXwwAAAA.png,2,0
493,../Images/test\class2\OIP-ZtKNxAUUKn5r_9r4y1FC7QHaE8.png,2,2
494,../Images/test\class2\OIP-_6rwQJccAbxntDlKJMo3xAHaKM.png,2,2
495,../Images/test\class2\OIP-_V1lmNthzvv6Q6iNooQA3QHaGi.png,2,2
496,../Images/test\class2\OIP-_axfJea6fU2Qhl34OsqfoQHaFj.png,2,0
497,../Images/test\class2\OIP-_pm-_pA-C7f5tnx5W3gFdQHaJt.png,2,2
498,../Images/test\class2\OIP-_wDkdGdRLM-PtyR0mPhV0QHaG2.png,2,0
499,../Images/test\class2\OIP-b5qvnLnivfOO5Tm9C76dhAHaGh.png,2,2
500,../Images/test\class2\OIP-eA3yZjBtO6EqhG5XPLiVlgHaGG.png,2,2
501,../Images/test\class2\OIP-i_vcxF-7d-QGXF2Np6VKGAHaFi.png,2,2
502,../Images/test\class2\Ring_billed_Gull_0004_788143493.png,2,0
503,../Images/test\class2\Ring_billed_Gull_0013_317848120.png,2,2
504,../Images/test\class2\Sooty_Albatross_0013_496156286.png,2,2
505,../Images/test\class2\Spotted_Catbird_0004_2928420799.png,2,2
506,../Images/test\class2\airplane_0012.png,2,2
507,../Images/test\class2\airplane_0014.png,2,2
508,../Images/test\class2\airplane_0017.png,2,1
509,../Images/test\class2\airplane_0023.png,2,2
510,../Images/test\class2\airplane_0025.png,2,2
511,../Images/test\class2\airplane_0028.png,2,2
512,../Images/test\class2\car_0018.png,2,1
513,../Images/test\class2\car_0021.png,2,2
514,../Images/test\class2\car_0025.png,2,2
515,../Images/test\class2\car_0030.png,2,2
516,../Images/test\class2\car_0033.png,2,2
517,../Images/test\class2\car_0035.png,2,2
518,../Images/test\class2\car_0037.png,2,2
519,../Images/test\class2\e13cb60a2bf31c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.png,2,2
520,../Images/test\class2\e83db30d29f7063ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.png,2,0
521,../Images/test\class2\ea35b60920f6013ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.png,2,2
522,../Images/test\class2\ea36b20f20f1033ed1584d05fb1d4e9fe777ead218ac104497f5c978a7e8b7bc_640.png,2,2
523,../Images/test\class2\ea36b40b20f2023ed1584d05fb1d4e9fe777ead218ac104497f5c978a7e8b7bc_640.png,2,0
524,../Images/test\class2\ea36b40c28f0003ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.png,2,2
525,../Images/test\class2\eb3db40d29f0073ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.png,2,2
526,../Images/test\class2\elephant-1 (255).png,2,2
527,../Images/test\class2\elephant-1 (261).png,2,0
528,../Images/test\class2\elephant-1 (264).png,2,2
529,../Images/test\class2\elephant-1 (4).png,2,2
530,../Images/test\class2\flickr_cat_000004.png,2,2
531,../Images/test\class2\flickr_cat_000009.png,2,2
532,../Images/test\class2\flickr_cat_000013.png,2,2
533,../Images/test\class2\flickr_cat_000015.png,2,2
534,../Images/test\class2\flickr_cat_000018.png,2,2
535,../Images/test\class2\flickr_cat_000020.png,2,2
536,../Images/test\class2\flickr_cat_000024.png,2,2
537,../Images/test\class2\flickr_cat_000030.png,2,2
538,../Images/test\class2\flickr_cat_000032.png,2,2
539,../Images/test\class2\flickr_cat_000034.png,2,2
540,../Images/test\class2\flickr_cat_000037.png,2,2
541,../Images/test\class2\flickr_cat_000039.png,2,2
542,../Images/test\class2\flickr_cat_000042.png,2,2
543,../Images/test\class2\flickr_cat_000045.png,2,2
544,../Images/test\class2\flickr_cat_000048.png,2,0
545,../Images/test\class2\flickr_cat_000099.png,2,2
546,../Images/test\class2\flickr_cat_000101.png,2,2
547,../Images/test\class2\flickr_cat_000104.png,2,2
548,../Images/test\class2\flickr_cat_000105.png,2,2
549,../Images/test\class2\flickr_cat_000107.png,2,2
550,../Images/test\class2\flickr_cat_000110.png,2,2
551,../Images/test\class2\flickr_cat_000112.png,2,2
552,../Images/test\class2\flickr_cat_000115.png,2,2
553,../Images/test\class2\flickr_cat_000118.png,2,2
554,../Images/test\class2\flickr_dog_000255.png,2,2
555,../Images/test\class2\flickr_dog_000256.png,2,2
556,../Images/test\class2\flickr_dog_000259.png,2,2
557,../Images/test\class2\flickr_dog_000261.png,2,2
558,../Images/test\class2\flickr_dog_000266.png,2,2
559,../Images/test\class2\flickr_dog_000268.png,2,2
560,../Images/test\class2\flickr_dog_000273.png,2,2
561,../Images/test\class2\flickr_dog_000282.png,2,2
562,../Images/test\class2\flickr_dog_000285.png,2,2
563,../Images/test\class2\flickr_dog_000288.png,2,2
564,../Images/test\class2\flickr_dog_000292.png,2,2
565,../Images/test\class2\flickr_dog_000295.png,2,2
566,../Images/test\class2\flickr_dog_000299.png,2,0
567,../Images/test\class2\flickr_dog_000302.png,2,2
568,../Images/test\class2\flickr_dog_000305.png,2,2
569,../Images/test\class2\flickr_dog_000306.png,2,2
570,../Images/test\class2\flickr_dog_000308.png,2,2
571,../Images/test\class2\flickr_dog_000314.png,2,2
572,../Images/test\class2\flickr_dog_000315.png,2,2
573,../Images/test\class2\flickr_dog_000321.png,2,2
574,../Images/test\class2\flickr_dog_000323.png,2,1
575,../Images/test\class2\flickr_dog_000324.png,2,0
576,../Images/test\class2\flickr_dog_000326.png,2,2
