,images,expected,predicted
118,../Images/testMale\class1\01074_Mask.jpg,0,0
119,../Images/testMale\class1\01081_Mask.jpg,0,0
120,../Images/testMale\class1\01082_Mask.jpg,0,0
121,../Images/testMale\class1\01091_Mask.jpg,1,1
122,../Images/testMale\class1\01092_Mask.jpg,0,0
123,../Images/testMale\class1\01094_Mask.jpg,1,1
124,../Images/testMale\class1\01095_Mask.jpg,0,0
125,../Images/testMale\class1\01107_Mask.jpg,0,0
126,../Images/testMale\class1\01117_Mask.jpg,0,0
127,../Images/testMale\class1\01118_Mask.jpg,0,0
128,../Images/testMale\class1\01119_Mask.jpg,0,0
129,../Images/testMale\class1\01120_Mask.jpg,0,0
130,../Images/testMale\class1\01121_Mask.jpg,1,1
131,../Images/testMale\class1\01122_Mask.jpg,0,0
132,../Images/testMale\class1\01392_Mask.jpg,0,0
133,../Images/testMale\class1\01393_Mask.jpg,0,0
134,../Images/testMale\class1\01394_Mask.jpg,1,1
135,../Images/testMale\class1\01396_Mask.jpg,0,0
136,../Images/testMale\class1\02002_Mask.jpg,1,1
137,../Images/testMale\class1\02004_Mask.jpg,0,0
138,../Images/testMale\class1\02006_Mask.jpg,1,1
139,../Images/testMale\class1\02007_Mask.jpg,0,0
140,../Images/testMale\class1\02017_Mask.jpg,1,1
141,../Images/testMale\class1\02018_Mask.jpg,1,2
142,../Images/testMale\class1\02019_Mask.jpg,1,1
143,../Images/testMale\class1\02020_Mask.jpg,1,1
144,../Images/testMale\class1\02036_Mask.jpg,0,0
145,../Images/testMale\class1\02038_Mask.jpg,1,0
146,../Images/testMale\class1\02039_Mask.jpg,0,0
147,../Images/testMale\class1\02047_Mask.jpg,1,1
148,../Images/testMale\class1\02048_Mask.jpg,1,1
149,../Images/testMale\class1\02049_Mask.jpg,1,1
150,../Images/testMale\class1\02051_Mask.jpg,0,0
151,../Images/testMale\class1\02052_Mask.jpg,1,1
152,../Images/testMale\class1\02064_Mask.jpg,1,1
153,../Images/testMale\class1\02067_Mask.jpg,1,1
154,../Images/testMale\class1\02069_Mask.jpg,0,0
155,../Images/testMale\class1\02078_Mask.jpg,0,0
156,../Images/testMale\class1\02081_Mask.jpg,1,2
157,../Images/testMale\class1\101.jpg,1,1
158,../Images/testMale\class1\102.jpg,0,0
159,../Images/testMale\class1\103.jpg,1,1
160,../Images/testMale\class1\201.jpg,1,1
161,../Images/testMale\class1\202.jpg,1,1
162,../Images/testMale\class1\203.jpg,0,0
163,../Images/testMale\class1\205.jpg,0,0
164,../Images/testMale\class1\206.jpg,1,1
165,../Images/testMale\class1\429.jpg,1,1
166,../Images/testMale\class1\430.jpg,0,0
167,../Images/testMale\class1\446.jpg,1,1
168,../Images/testMale\class1\447.jpg,1,1
169,../Images/testMale\class1\461.jpg,0,0
170,../Images/testMale\class1\468.jpg,1,1
171,../Images/testMale\class1\47.jpg,0,0
172,../Images/testMale\class1\470.jpg,1,1
173,../Images/testMale\class1\473.jpg,0,0
174,../Images/testMale\class1\474.jpg,1,2
175,../Images/testMale\class1\478.jpg,1,1
176,../Images/testMale\class1\479.jpg,1,1
177,../Images/testMale\class1\481.jpg,0,0
178,../Images/testMale\class1\482.jpg,1,1
179,../Images/testMale\class1\483.jpg,1,1
180,../Images/testMale\class1\484.jpg,0,0
181,../Images/testMale\class1\486.jpg,0,0
182,../Images/testMale\class1\489.jpg,1,1
183,../Images/testMale\class1\496.jpg,0,0
184,../Images/testMale\class1\497.jpg,1,1
185,../Images/testMale\class1\498.jpg,1,2
186,../Images/testMale\class1\499.jpg,1,2
187,../Images/testMale\class1\500.jpg,1,1
188,../Images/testMale\class1\504.jpg,1,1
189,../Images/testMale\class1\506.jpg,0,0
190,../Images/testMale\class1\507.jpg,1,1
191,../Images/testMale\class1\508.jpg,0,0
192,../Images/testMale\class1\510.jpg,1,1
193,../Images/testMale\class1\517.jpg,0,0
194,../Images/testMale\class1\518.jpg,0,2
195,../Images/testMale\class1\521.jpg,0,0
196,../Images/testMale\class1\59.jpg,0,0
197,../Images/testMale\class1\68.jpg,0,0
198,../Images/testMale\class1\73.jpg,1,1
199,../Images/testMale\class1\75.jpg,1,0
200,../Images/testMale\class1\76.jpg,0,0
201,../Images/testMale\class1\78.jpg,1,1
202,../Images/testMale\class1\86.jpg,1,1
203,../Images/testMale\class1\87.jpg,0,0
204,../Images/testMale\class1\88.jpg,1,1
205,../Images/testMale\class1\89.jpg,0,2
206,../Images/testMale\class1\99.jpg,0,0
207,../Images/testMale\class1\HTB1jE7ILFXXXXaEXpXXq6xXFXXXd.jpg,1,1
208,../Images/testMale\class1\maksssksksss106.png,0,0
209,../Images/testMale\class1\maksssksksss242.png,1,2
210,../Images/testMale\class1\maksssksksss258.png,1,1
211,../Images/testMale\class1\maksssksksss272.png,0,0
212,../Images/testMale\class1\maksssksksss281.png,0,0
213,../Images/testMale\class1\maksssksksss295.png,1,1
214,../Images/testMale\class1\maksssksksss324.png,1,1
215,../Images/testMale\class1\maksssksksss332.png,0,0
216,../Images/testMale\class1\maksssksksss590.png,0,0
217,../Images/testMale\class1\maksssksksss617.png,1,1
218,../Images/testMale\class1\maksssksksss62.png,1,1
219,../Images/testMale\class1\maksssksksss626.png,0,2
220,../Images/testMale\class1\maksssksksss630.png,1,1
221,../Images/testMale\class1\maksssksksss644.png,0,0
222,../Images/testMale\class1\maksssksksss668.png,1,1
223,../Images/testMale\class1\maksssksksss681.png,0,0
224,../Images/testMale\class1\maksssksksss709.png,1,2
225,../Images/testMale\class1\maksssksksss762.png,1,1
226,../Images/testMale\class1\maksssksksss790.png,0,0
227,../Images/testMale\class1\maksssksksss793.png,1,1
228,../Images/testMale\class1\maksssksksss808.png,0,2
229,../Images/testMale\class1\maksssksksss813.png,0,0
230,../Images/testMale\class1\maksssksksss845.png,0,0
231,../Images/testMale\class1\maksssksksss88.png,1,1
232,../Images/testMale\class1\man-wearing-surgical-mask-11976575.jpg,1,1
233,../Images/testMale\class1\mask-GettyImages-Science-Photo-Library.jpg,0,0
234,../Images/testMale\class1\surgical-face-mask-standard.jpg,1,1
235,../Images/testMale\class1\surgical-mask-49701-blue.jpg,0,0
